date,open,high,low,close,adjusted_close,volume
2022-03-17,779.85,831.5,767.32,828.47,82.847,2945000
2022-03-18,819.7,873.0,817.26,859.68,85.968,9440000
2022-03-21,883.46,895.0,823.4,860.57,86.057,2918000
2022-03-22,864.22,922.17,843.92,912.5,91.25,4731000
2022-03-23,901.01,927.78,876.0,884.38,88.438,4958000
2022-03-24,892.66,892.71,854.49,882.59,88.259,1997000
2022-03-25,877.55,882.24,832.0,846.65,84.665,1668000
2022-03-28,855.91,900.0,842.95,878.67,87.867,2253000
2022-03-29,900.01,947.33,879.01,929.58,92.958,2925000
2022-03-30,910.0,917.39,865.0,879.61,87.961,2719000
2022-03-31,885.95,889.01,844.47,845.47,84.547,2621000
2022-04-01,863.99,896.01,849.39,865.71,86.571,2248000
2022-04-04,870.05,912.5,863.52,907.81,90.781,2001000
2022-04-05,905.04,919.0,862.96,878.47,87.847,2385000
2022-04-06,854.62,856.46,798.19,822.42,82.242,3294000
2022-04-07,825.95,840.78,781.96,811.12,81.112,2182000
2022-04-08,809.22,809.22,755.0,757.98,75.798,2638000
2022-04-11,775.0,793.23,750.0,780.02,78.002,3646000
2022-04-12,797.31,810.54,746.23,747.23,74.723,2958000
2022-04-13,747.27,782.4,734.69,759.17,75.917,2225000
2022-04-14,757.37,762.05,730.59,731.93,73.193,1905000
2022-04-18,728.35,739.99,701.43,733.43,73.343,1867000
2022-04-19,731.22,775.15,726.88,764.63,76.463,1945000
2022-04-20,745.99,746.0,656.75,658.05,65.805,5180000
2022-04-21,672.47,672.47,594.46,604.58,60.458,5164000
2022-04-22,608.27,624.0,577.46,585.08,58.508,3988000
2022-04-25,593.78,606.68,577.11,584.24,58.424,4262000
2022-04-26,579.6,585.54,548.21,549.07,54.907,3277000
2022-04-27,543.25,563.53,531.0,533.62,53.362,4140000
2022-04-28,557.67,578.89,527.96,568.15,56.815,3856000
2022-04-29,542.08,590.14,536.0,549.53,54.953,3025000
2022-05-02,546.84,584.0,544.98,583.26,58.326,3500000
2022-05-03,579.0,609.0,578.0,597.14,59.714,2939000
2022-05-04,590.82,621.27,564.45,618.3,61.83,5219000
2022-05-05,517.82,545.33,505.18,529.63,52.963,5392000
2022-05-06,514.97,515.06,460.0,486.07,48.607,4938000
2022-05-09,468.0,479.72,438.34,442.39,44.239,4483000
2022-05-10,460.48,473.29,414.35,436.9,43.69,5298000
2022-05-11,431.73,446.25,409.0,414.41,41.441,6581000
2022-05-12,410.58,500.0,402.0,462.28,46.228,5558000
2022-05-13,485.56,530.0,485.56,519.73,51.973,4790000
2022-05-16,518.93,518.93,458.6,462.77,46.277,4415000
2022-05-17,485.0,494.15,445.55,477.54,47.754,3291000
2022-05-18,461.7,487.15,456.34,464.88,46.488,2798000
